,Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,Prezzo,Kap.,350K (8),350K (10),500K (8),500K (10),Titolarita,Bonus,Nome2
0,Sommer-Inter,P,Sommer,Inter,19.0,18.0,1.0,19.0,18.0,1.0,110.0,110.0,33.0,23.0,50.8,58.42,53.36,58.05,90.0,0.0,Yann
1,Gregorio-Juventus,P,Di Gregorio,Juventus,18.0,17.0,1.0,18.0,17.0,1.0,110.0,110.0,33.0,21.0,45.55,52.73,41.28,53.65,80.0,0.0,Michele
2,Meret-Napoli,P,Meret,Napoli,15.0,15.0,0.0,15.0,15.0,0.0,75.0,75.0,27.0,16.0,28.74,32.56,30.07,33.62,80.0,0.0,Alex
3,Maignan-Milan,P,Maignan,Milan,14.0,15.0,-1.0,14.0,15.0,-1.0,71.0,71.0,27.0,18.0,29.02,34.92,28.81,37.84,90.0,0.0,Mike
4,Svilar-Roma,P,Svilar,Roma,14.0,13.0,1.0,14.0,13.0,1.0,70.0,70.0,24.0,17.0,24.74,25.93,24.27,28.55,80.0,0.0,Mile
5,Skorupski-Bologna,P,Skorupski,Bologna,12.0,11.0,1.0,12.0,11.0,1.0,50.0,50.0,12.0,16.0,18.85,21.65,17.5,21.9,80.0,0.0,Lukasz
6,Milinkovic-Torino,P,Milinkovic-Savic V.,Torino,12.0,10.0,2.0,12.0,10.0,2.0,52.0,52.0,15.0,15.0,19.71,20.64,16.5,21.28,80.0,0.0,Vanja
7,Carnesecchi-Atalanta,P,Carnesecchi,Atalanta,12.0,13.0,-1.0,12.0,13.0,-1.0,54.0,54.0,21.0,15.0,21.47,27.96,20.64,27.2,75.0,0.0,Marco
8,Provedel-Lazio,P,Provedel,Lazio,11.0,12.0,-1.0,11.0,12.0,-1.0,60.0,60.0,18.0,16.0,18.29,22.94,21.23,23.36,85.0,0.0,Ivan
9,Terracciano-Fiorentina,P,Terracciano,Fiorentina,11.0,11.0,0.0,11.0,11.0,0.0,20.0,20.0,0.5,15.0,17.05,18.55,14.82,19.09,65.0,0.0,Pietro
10,Gollini-Genoa,P,Gollini,Genoa,10.0,10.0,0.0,10.0,10.0,0.0,34.0,34.0,12.0,10.0,12.75,13.16,10.04,13.01,80.0,0.0,Pierluigi
11,Gea-Fiorentina,P,De Gea,Fiorentina,10.0,11.0,-1.0,10.0,11.0,-1.0,29.0,29.0,15.0,13.0,21.49,24.54,18.84,21.33,70.0,0.0,David
12,Falcone-Lecce,P,Falcone,Lecce,9.0,9.0,0.0,9.0,9.0,0.0,33.0,33.0,12.0,11.0,13.55,16.6,10.19,14.98,85.0,0.0,Wladimiro
13,Scuffet-Cagliari,P,Scuffet,Cagliari,8.0,7.0,1.0,8.0,7.0,1.0,32.0,32.0,1.0,12.0,14.42,15.04,11.55,14.73,75.0,0.0,Simone
14,Audero-Como,P,Audero,Como,8.0,9.0,-1.0,8.0,9.0,-1.0,18.0,18.0,6.0,11.0,12.48,12.89,,6.36,75.0,0.0,Emil
15,Turati-Monza,P,Turati,Monza,8.0,8.0,0.0,8.0,8.0,0.0,23.0,23.0,1.0,10.0,11.31,13.88,9.71,12.33,75.0,0.0,Stefano
16,Montipo-Verona,P,Montipo',Verona,8.0,7.0,1.0,8.0,7.0,1.0,33.0,33.0,3.0,12.0,13.74,16.76,11.43,14.31,90.0,0.0,MONTIPO'Lorenzo
17,Okoye-Udinese,P,Okoye,Udinese,8.0,7.0,1.0,8.0,7.0,1.0,35.0,35.0,9.0,12.0,13.66,16.98,14.99,16.61,75.0,0.0,Maduka
18,Joronen-Venezia,P,Joronen,Venezia,7.0,6.0,1.0,7.0,6.0,1.0,21.0,21.0,1.0,11.0,,12.44,,5.83,85.0,0.0,Jesse
19,Vasquez-Empoli,P,Vasquez D.,Empoli,7.0,5.0,2.0,7.0,5.0,2.0,14.0,14.0,1.0,11.0,,11.99,,5.94,80.0,0.0,Devis
20,Suzuki-Parma,P,Suzuki,Parma,7.0,7.0,0.0,7.0,7.0,0.0,22.0,22.0,3.0,12.0,13.55,13.81,12.72,15.21,80.0,0.0,Zion
21,Reina-Como,P,Reina,Como,3.0,2.0,1.0,3.0,2.0,1.0,12.0,12.0,0.5,3.0,1.35,9.76,,1.77,45.0,0.0,Pepe
22,Pizzignacco-Monza,P,Pizzignacco,Monza,3.0,1.0,2.0,3.0,1.0,2.0,5.0,5.0,0.5,3.0,,3.32,,1.59,15.0,0.0,Semuel
23,Sportiello-Milan,P,Sportiello,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.52,1.74,0.98,1.21,20.0,0.0,Marco
24,Leali-Genoa,P,Leali,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,1.01,,1.518038342235727,15.0,0.0,Nicola
25,Donnarumma-Torino,P,Donnarumma An.,Torino,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.12,,0.44,20.0,0.0,Antonio
26,Perin-Juventus,P,Perin,Juventus,1.0,2.0,-1.0,1.0,2.0,-1.0,3.0,3.0,0.5,4.0,3.39,3.42,1.74,2.52,40.0,0.0,Mattia
27,Sommariva-Genoa,P,Sommariva,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,10.0,0.0,Daniele
28,Perilli-Verona,P,Perilli,Verona,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.06,15.0,0.0,Simone
29,Padelli-Udinese,P,Padelli,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,0.53,10.0,0.0,Daniele
30,Perisan-Empoli,P,Perisan,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,1.26,,1.518038342235727,25.0,0.0,Samuele
31,Gennaro-Inter,P,Di Gennaro,Inter,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,3.82,3.42,,0.51,10.0,0.0,Raffaele
32,Pinsoglio-Juventus,P,Pinsoglio,Juventus,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,3.87,3.47,0.94,1.2,10.0,0.0,Carlo
33,Cragno-Monza,P,Cragno,Monza,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,1.08,,2.1356285136634687,45.0,0.0,Alessio
34,Rossi-Atalanta,P,Rossi F.,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.13,,0.53,10.0,0.0,Francesco
35,Fruchtl-Lecce,P,Fruchtl,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,30.0,0.0,Christian
36,Ravaglia-Bologna,P,Ravaglia F.,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,2.31,2.36,,0.88,25.0,0.0,Federico
37,Vigorito-Como,P,Vigorito,Como,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,25.0,0.0,Mauro
38,Contini-Napoli,P,Contini,Napoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.13,,0.5,10.0,0.0,Nikita
39,Patricio-Atalanta,P,Rui Patricio,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,3.36,3.21,1.03,1.45,35.0,0.0,-
40,Brancolini-Empoli,P,Brancolini,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,15.0,0.0,Federico
41,Caprile-Napoli,P,Caprile,Napoli,1.0,2.0,-1.0,1.0,2.0,-1.0,3.0,3.0,0.5,4.0,2.97,3.05,1.23,2.36,20.0,0.0,Elia
42,Berardi-Verona,P,Berardi A.,Verona,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.06,10.0,0.0,Alessandro
43,Ciocci-Cagliari,P,Ciocci,Cagliari,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.15,,1.0088872819740327,10.0,0.0,Giuseppe
44,Martinez2-Inter,P,Martinez Jo.,Inter,1.0,2.0,-1.0,1.0,2.0,-1.0,3.0,3.0,0.5,3.0,1.57,2.78,1.45,2.33,40.0,0.0,Josep
47,Martinez-Inter,A,Martinez L.,Inter,38.0,41.0,-3.0,39.0,42.0,-3.0,402.0,402.0,105.0,49.0,164.38,193.27,152.6,174.57,85.0,21.5,Lautaro
48,Paleari-Torino,P,Paleari,Torino,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.14,,1.0088872819740327,10.0,0.0,Alberto
49,Ryan-Roma,P,Ryan,Roma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,3.8,3.35,1.48,1.58,30.0,0.0,Mathew
50,Bertinato-Venezia,P,Bertinato,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,10.0,0.0,Bruno
51,Bagnolini-Bologna,P,Bagnolini,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,10.0,0.0,Nicola
52,Martinelli-Fiorentina,P,Martinelli T.,Fiorentina,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,10.0,0.0,Tomasso
53,Stankovic-Venezia,P,Stankovic F.,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.06,25.0,0.0,Filip
54,Christensen-Fiorentina,P,Christensen O.,Fiorentina,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,1.12,,2.65,35.0,0.0,Oliver
55,Furlanetto-Lazio,P,Furlanetto,Lazio,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.12,,0.5,10.0,0.0,Alessio
56,Mandas-Lazio,P,Mandas,Lazio,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,2.32,2.22,1.3,1.44,25.0,0.0,Christos
57,Nava-Milan,P,Nava,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.75,1.88,,0.53,10.0,0.0,Lapo
58,Samooja-Lecce,P,Samooja,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,10.0,0.0,Jasper
59,Sherri-Cagliari,P,Sherri,Cagliari,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.2,,1.0088872819740327,25.0,0.0,Alen
60,Chichizola-Parma,P,Chichizola,Parma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,0.87,,1.0088872819740327,15.0,0.0,Leandro
61,Corvi-Parma,P,Corvi,Parma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,0.0,Edoardo
62,Grandi-Venezia,P,Grandi,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,10.0,0.0,Matteo
63,Torriani-Milan,P,Torriani,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,4.65,4.07,,0.51,10.0,0.0,Lorenzo
64,Marin-Roma,P,Marin Re.,Roma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.09,,0.53,15.0,0.0,Renato
65,Sava-Udinese,P,Sava,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,25.0,0.0,Razvan
66,Dimarco-Inter,D,Dimarco,Inter,24.0,24.0,0.0,23.0,23.0,0.0,100.0,95.0,36.0,24.0,37.37,45.47,44.72,51.91,80.0,12.5,Federico
67,Hernandez-Milan,D,Hernandez T.,Milan,20.0,20.0,0.0,20.0,20.0,0.0,84.0,84.0,33.0,21.0,35.91,42.94,38.11,45.01,90.0,18.5,Theo
68,Lorenzo-Napoli,D,Di Lorenzo,Napoli,18.0,18.0,0.0,20.0,20.0,0.0,78.0,88.0,18.0,23.0,27.6,33.44,21.78,28.18,85.0,10.0,Giovanni
69,Bastoni-Inter,D,Bastoni,Inter,16.0,16.0,0.0,16.0,16.0,0.0,52.0,52.0,18.0,19.0,25.15,30.18,30.52,34.75,85.0,4.5,Alessandro
70,Buongiorno-Napoli,D,Buongiorno,Napoli,16.0,16.0,0.0,16.0,16.0,0.0,57.0,57.0,22.0,17.0,22.83,27.42,19.86,25.98,80.0,2.5,Alessandro
71,Bremer-Juventus,D,Bremer,Juventus,16.0,16.0,0.0,16.0,16.0,0.0,62.0,62.0,21.0,19.0,27.14,32.37,23.67,31.54,80.0,7.5,Gleison
72,Dumfries-Inter,D,Dumfries,Inter,16.0,16.0,0.0,15.0,15.0,0.0,38.0,35.0,10.0,18.0,19.65,23.11,17.24,22.56,70.0,6.5,Denzel
73,Gosens-Fiorentina,D,Gosens,Fiorentina,14.0,13.0,1.0,13.0,12.0,1.0,55.0,50.0,13.0,19.0,29.14,31.73,36.17,38.52,70.0,9.0,Robin
74,Pavard-Inter,D,Pavard,Inter,14.0,14.0,0.0,15.0,15.0,0.0,40.0,45.0,21.0,17.0,21.99,26.66,20.77,25.11,80.0,5.0,Benjamin
75,Spinazzola-Napoli,D,Spinazzola,Napoli,13.0,13.0,0.0,12.0,12.0,0.0,38.0,35.0,12.0,17.0,18.63,18.75,20.21,20.52,75.0,6.5,Leonardo
76,Danilo-Juventus,D,Danilo,Juventus,13.0,14.0,-1.0,15.0,16.0,-1.0,25.0,35.0,7.0,17.0,18.94,23.27,15.85,21.56,75.0,7.0,-
77,Tomori-Milan,D,Tomori,Milan,13.0,14.0,-1.0,13.0,14.0,-1.0,41.0,41.0,12.0,17.0,18.1,18.85,17.0,23.26,80.0,2.5,Fikayo
78,Bellanova-Atalanta,D,Bellanova,Atalanta,13.0,13.0,0.0,12.0,12.0,0.0,45.0,40.0,21.0,17.0,23.48,28.66,22.92,29.03,75.0,10.0,Raoul
79,Ruggeri-Atalanta,D,Ruggeri,Atalanta,12.0,11.0,1.0,11.0,10.0,1.0,43.0,40.0,13.0,16.0,18.21,19.14,16.15,20.68,75.0,10.0,Matteo
80,Mancini-Roma,D,Mancini,Roma,11.0,10.0,1.0,11.0,10.0,1.0,28.0,28.0,7.0,15.0,19.95,23.21,15.11,20.86,75.0,9.5,Gianluca
81,Rrahmani-Napoli,D,Rrahmani,Napoli,11.0,11.0,0.0,11.0,11.0,0.0,26.0,26.0,12.0,16.0,18.38,22.29,17.59,21.03,85.0,8.0,Amir
82,Royal-Milan,D,Emerson Royal,Milan,11.0,12.0,-1.0,11.0,12.0,-1.0,37.0,45.0,3.0,16.0,17.23,18.75,13.67,19.03,75.0,5.5,Leite de Souza Júnior
83,Pavlovic-Milan,D,Pavlovic,Milan,11.0,10.0,1.0,11.0,10.0,1.0,34.0,34.0,10.0,17.0,20.73,25.85,20.88,27.2,75.0,3.5,Strahinja
84,Cambiaso-Juventus,D,Cambiaso,Juventus,11.0,9.0,2.0,12.0,10.0,2.0,58.0,67.0,18.0,17.0,23.07,28.7,24.69,31.04,70.0,7.5,Andrea
85,Acerbi-Inter,D,Acerbi,Inter,10.0,10.0,0.0,10.0,10.0,0.0,31.0,31.0,6.0,14.0,17.22,21.07,15.45,18.41,75.0,5.0,Francesco
86,Zappacosta-Atalanta,D,Zappacosta,Atalanta,10.0,9.0,1.0,9.0,8.0,1.0,28.0,25.0,0.5,17.0,18.6,19.19,15.03,19.46,75.0,11.0,Davide
87,Darmian-Inter,D,Darmian,Inter,10.0,8.0,2.0,10.0,9.0,1.0,21.0,24.0,7.0,13.0,14.69,15.76,12.91,16.29,70.0,6.5,Matteo
88,Angelino-Roma,D,Angelino,Roma,10.0,10.0,0.0,10.0,10.0,0.0,27.0,27.0,3.0,15.0,16.7,16.78,14.71,18.78,75.0,7.5,Jose
89,Hermoso-Roma,D,Hermoso,Roma,10.0,10.0,0.0,10.0,10.0,0.0,24.0,24.0,0.5,16.0,18.04,22.09,,10.95,,,Mario
90,Quarta-Fiorentina,D,Martinez Quarta,Fiorentina,10.0,11.0,-1.0,10.0,11.0,-1.0,32.0,32.0,6.0,15.0,19.65,22.88,14.23,18.3,75.0,2.5,Lucas
91,Kossounou-Atalanta,D,Kossounou,Atalanta,10.0,10.0,0.0,10.0,10.0,0.0,26.0,26.0,7.0,16.0,18.85,22.13,15.54,19.33,80.0,2.5,Odilon
92,Coco-Torino,D,Coco,Torino,10.0,8.0,2.0,10.0,8.0,2.0,25.0,25.0,10.0,16.0,18.35,22.29,15.74,18.21,80.0,0.0,Saul
93,Luperto-Cagliari,D,Luperto,Cagliari,9.0,8.0,1.0,9.0,8.0,1.0,14.0,14.0,5.0,14.0,16.16,19.95,12.96,17.66,80.0,0.0,Sebastiano
94,Romagnoli-Lazio,D,Romagnoli,Lazio,9.0,10.0,-1.0,9.0,10.0,-1.0,26.0,26.0,10.0,12.0,15.44,18.41,11.5,14.48,80.0,5.0,Alessio
95,Roberto-Como,D,Sergi Roberto,Como,9.0,9.0,0.0,9.0,9.0,0.0,18.0,18.0,6.0,13.0,14.18,17.66,12.89,15.39,80.0,5.5,Sergi
96,Ndicka-Roma,D,N'Dicka,Roma,9.0,8.0,1.0,9.0,8.0,1.0,20.0,20.0,2.0,15.0,16.91,17.07,15.01,19.2,65.0,3.5,Evan
97,Vasquez-Genoa,D,Vasquez,Genoa,9.0,9.0,0.0,10.0,10.0,0.0,16.0,18.0,9.0,13.0,15.33,18.89,12.64,16.36,75.0,2.5,Johan
98,Baschirotto-Lecce,D,Baschirotto,Lecce,9.0,9.0,0.0,10.0,10.0,0.0,19.0,19.0,0.5,13.0,14.79,18.44,12.79,16.84,85.0,8.0,Federico
99,Bijol-Udinese,D,Bijol,Udinese,9.0,8.0,1.0,9.0,8.0,1.0,20.0,20.0,7.0,12.0,13.54,14.31,12.5,15.95,80.0,8.5,Jaka
100,Augusto-Inter,D,Carlos Augusto,Inter,9.0,9.0,0.0,8.0,8.0,0.0,20.0,16.0,5.0,14.0,15.59,15.97,13.81,17.54,65.0,9.0,-
101,Dodo-Fiorentina,D,Dodo',Fiorentina,9.0,9.0,0.0,9.0,9.0,0.0,23.0,23.0,15.0,14.0,16.42,20.08,16.78,19.17,75.0,7.5,-
102,Biraghi-Fiorentina,D,Biraghi,Fiorentina,8.0,7.0,1.0,9.0,8.0,1.0,30.0,42.0,5.0,18.0,21.18,24.6,21.27,25.89,75.0,8.5,Cristiano
103,Hummels-Roma,D,Hummels,Roma,8.0,8.0,0.0,8.0,8.0,0.0,19.0,19.0,0.5,14.0,,12.66,,16.08610173632774,,,Mats
104,Varane-Como,D,Varane,Como,8.0,9.0,-1.0,8.0,9.0,-1.0,15.0,15.0,0.5,14.0,15.26,16.5,,7.25,85.0,3.5,Raphaël
105,Kolasinac-Atalanta,D,Kolasinac,Atalanta,8.0,9.0,-1.0,9.0,10.0,-1.0,21.0,25.0,6.0,13.0,15.0,18.28,13.04,16.54,75.0,3.5,Sead
106,Mina-Cagliari,D,Mina,Cagliari,8.0,8.0,0.0,8.0,8.0,0.0,16.0,16.0,3.0,12.0,14.36,17.4,11.13,14.01,80.0,2.5,Yerry
107,Miranda-Bologna,D,Miranda J.,Bologna,8.0,8.0,0.0,8.0,8.0,0.0,23.0,23.0,9.0,12.0,13.7,16.81,11.66,15.35,70.0,2.0,Juan
108,Ismajli-Empoli,D,Ismajli,Empoli,8.0,6.0,2.0,8.0,6.0,2.0,9.0,9.0,0.5,11.0,,12.54,,5.5,80.0,2.5,Ardian
109,Parisi-Fiorentina,D,Parisi,Fiorentina,8.0,8.0,0.0,8.0,8.0,0.0,15.0,15.0,0.5,10.0,,11.84,9.71,12.36,60.0,6.5,Fabiano
110,Casale-Bologna,D,Casale,Bologna,8.0,8.0,0.0,8.0,8.0,0.0,15.0,15.0,0.5,12.0,15.56,17.98,11.3,14.33,75.0,5.5,Nicolò
111,Pongracic-Fiorentina,D,Pongracic,Fiorentina,8.0,9.0,-1.0,8.0,9.0,-1.0,20.0,20.0,0.5,13.0,15.19,18.68,13.1,18.29,75.0,0.0,Marin
112,Holm-Bologna,D,Holm,Bologna,8.0,9.0,-1.0,8.0,9.0,-1.0,20.0,20.0,0.5,14.0,16.26,20.06,13.18,17.15,75.0,5.5,Emil
113,Gatti-Juventus,D,Gatti,Juventus,8.0,7.0,1.0,8.0,7.0,1.0,20.0,20.0,4.0,13.0,18.56,21.09,17.23,18.85,75.0,5.0,Federico
114,Gigot-Lazio,D,Gigot,Lazio,8.0,8.0,0.0,8.0,8.0,0.0,19.0,19.0,0.5,12.0,,12.32,,12.72,75.0,5.0,Samuel
115,Hien-Atalanta,D,Hien,Atalanta,8.0,8.0,0.0,8.0,8.0,0.0,21.0,21.0,7.0,14.0,15.47,18.99,13.82,18.03,70.0,2.5,Isak
116,Beukema-Bologna,D,Beukema,Bologna,8.0,7.0,1.0,8.0,7.0,1.0,16.0,16.0,3.0,12.0,14.33,17.52,11.13,14.15,70.0,2.5,Sam
117,Dossena-Como,D,Dossena,Como,8.0,8.0,0.0,8.0,8.0,0.0,14.0,14.0,3.0,14.0,16.08,20.06,22.96,24.06,80.0,0.0,Alberto
118,Tchatchoua-Verona,D,Tchatchoua,Verona,8.0,6.0,2.0,8.0,6.0,2.0,23.0,23.0,0.5,13.0,14.73,18.23,12.83,15.09,75.0,6.5,Jackson
119,Masina-Torino,D,Masina,Torino,7.0,6.0,1.0,8.0,7.0,1.0,12.0,14.0,0.5,7.0,1.16,2.54,1.0,3.41,60.0,3.5,Adam
120,Vrij-Inter,D,De Vrij,Inter,7.0,8.0,-1.0,7.0,8.0,-1.0,18.0,18.0,0.5,11.0,12.29,12.34,,6.0,60.0,5.0,Stefan
121,Pezzella-Empoli,D,Pezzella Giu.,Empoli,7.0,5.0,2.0,7.0,5.0,2.0,7.0,7.0,0.5,9.0,5.44,5.49,,8.35,70.0,6.5,Giuseppe
122,Djimsiti-Atalanta,D,Djimsiti,Atalanta,7.0,8.0,-1.0,7.0,8.0,-1.0,18.0,18.0,0.5,14.0,16.21,16.65,13.6,17.94,80.0,5.0,Berat
123,Sabelli-Genoa,D,Sabelli,Genoa,7.0,6.0,1.0,8.0,7.0,1.0,8.0,10.0,0.5,11.0,,12.17,10.19,13.21,65.0,3.0,Stefano
124,Bani-Genoa,D,Bani,Genoa,7.0,7.0,0.0,7.0,7.0,0.0,14.0,14.0,0.5,11.0,,12.31,10.36,13.08,80.0,5.0,Mattia
125,Ranieri-Fiorentina,D,Ranieri L.,Fiorentina,7.0,7.0,0.0,8.0,8.0,0.0,15.0,16.0,0.5,11.0,12.87,15.75,,5.77,70.0,3.5,Luca
126,Kyriakopoulos-Monza,D,Kyriakopoulos,Monza,7.0,6.0,1.0,7.0,6.0,1.0,13.0,13.0,0.5,9.0,,2.34,,0.53,65.0,5.5,Georgios
127,Maripan-Torino,D,Maripan,Torino,7.0,7.0,0.0,7.0,7.0,0.0,15.0,15.0,0.5,15.0,,19.0,,18.00496124174805,,,Guillermo
128,Mari-Monza,D,Mari',Monza,7.0,7.0,0.0,7.0,7.0,0.0,15.0,15.0,0.5,12.0,14.37,17.7,11.13,14.0,80.0,5.0,Pablo
129,Erlic-Bologna,D,Erlic,Bologna,7.0,6.0,1.0,7.0,6.0,1.0,17.0,17.0,0.5,9.0,2.0,3.09,,7.77,65.0,2.5,Martin
130,Vojvoda-Torino,D,Vojvoda,Torino,7.0,6.0,1.0,7.0,7.0,0.0,12.0,14.0,0.5,8.0,1.46,1.51,2.94,6.850166038292885,60.0,5.5,Mergim
131,Godfrey-Atalanta,D,Godfrey,Atalanta,7.0,7.0,0.0,9.0,9.0,0.0,12.0,15.0,0.5,13.0,15.82,18.63,,6.68,60.0,2.5,Ben
132,Moreno-Como,D,Moreno Alb.,Como,7.0,7.0,0.0,7.0,7.0,0.0,17.0,17.0,0.5,11.0,13.26,15.76,10.36,13.08,80.0,5.5,Alberto
