,Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,Prezzo,Kap.,350K (8),350K (10),500K (8),500K (10),Titolarita,Bonus,Nome2
401,Azzouzi-Bologna,C,El Azzouzi,Bologna,3.0,4.0,-1.0,4.0,5.0,-1.0,7.0,8.0,0.5,8.0,,1.26,,6.850166038292885,55.0,4.5,Oussama
402,Makoumbou-Cagliari,C,Makoumbou,Cagliari,3.0,4.0,-1.0,4.0,5.0,-1.0,7.0,8.0,0.5,8.0,,,,9.54,85.0,0.0,Antoine
403,Braunoder-Como,C,Braunoder,Como,3.0,3.0,0.0,4.0,4.0,0.0,8.0,10.0,0.5,8.0,,5.64,,6.850166038292885,70.0,0.0,Matthias
404,Engelhardt-Como,C,Engelhardt,Como,3.0,4.0,-1.0,3.0,4.0,-1.0,8.0,10.0,0.5,9.0,,0.99,,8.11839087671691,70.0,3.5,Yannik
405,Modesto-Udinese,C,Rui Modesto,Udinese,3.0,3.0,0.0,4.0,4.0,0.0,7.0,9.0,0.5,10.0,,10.85,,9.495054826306982,60.0,8.0,Muati Modesto
406,Yeboah-Venezia,C,Yeboah J.,Venezia,3.0,3.0,0.0,3.0,3.0,0.0,8.0,8.0,0.5,9.0,,,,8.11839087671691,60.0,8.0,John
407,Jankto-Cagliari,C,Jankto,Cagliari,2.0,3.0,-1.0,3.0,4.0,-1.0,6.0,7.0,0.5,8.0,,,,6.850166038292885,60.0,5.5,Jakub
408,Cyprien-Parma,C,Cyprien,Parma,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.5,7.0,,6.9,,5.690380311034907,55.0,4.5,Wylan
409,Bianco-Monza,C,Bianco,Monza,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.5,3.0,,,,2.1356285136634687,60.0,0.0,Alessandro
410,Pisilli-Roma,C,Pisilli,Roma,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.16,,0.53,15.0,0.0,Niccolo
411,Belahyane-Verona,C,Belahyane,Verona,2.0,1.0,1.0,2.0,1.0,1.0,4.0,6.0,0.5,3.0,,2.24,,2.65,60.0,2.5,Reda
412,Silva-Verona,C,Dani Silva,Verona,2.0,3.0,-1.0,2.0,3.0,-1.0,5.0,5.0,0.5,7.0,,,,5.690380311034907,55.0,3.5,-
413,Mitrovic-Verona,C,Mitrovic S.,Verona,2.0,3.0,-1.0,2.0,3.0,-1.0,6.0,5.0,0.5,9.0,,,,8.11839087671691,60.0,5.5,Stefan
414,Doumbia-Venezia,C,Doumbia I.,Venezia,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,1.0,,1.26,,0.44,30.0,0.0,Issa
415,Anjorin-Empoli,C,Anjorin,Empoli,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.5,1.0,,,,1.0088872819740327,,,
416,Akpro-Lazio,C,Akpa Akpro,Lazio,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.5,7.0,,,,5.690380311034907,55.0,1.0,Jean-Daniel
417,Pobega-Bologna,C,Pobega,Bologna,1.0,2.0,-1.0,2.0,3.0,-1.0,12.0,14.0,0.5,10.0,,11.19,9.42,12.12,70.0,8.0,Tommaso
418,Camara-Parma,C,Camara D.,Parma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,,,,2.8616577962572576,50.0,2.5,Drissa
419,Crnigoj-Venezia,C,Crnigoj,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,3.8,,2.1356285136634687,50.0,3.5,Domen
420,Kone-Como,C,Kone B.,Como,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,,,2.1356285136634687,35.0,1.0,Ben Lhassine
421,Bohinen-Genoa,C,Bohinen,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,,,2.1356285136634687,50.0,5.5,Emil
422,Zerbin-Napoli,C,Zerbin,Napoli,1.0,2.0,-1.0,1.0,2.0,-1.0,4.0,4.0,0.5,8.0,,,,6.850166038292885,55.0,6.0,Alessio
423,Berisha-Lecce,C,BERISHA M.,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,5.0,,,,3.6961261900170936,35.0,0.0,Medon
424,Sulemana-Atalanta,C,Sulemana I.,Atalanta,1.0,2.0,-1.0,2.0,3.0,-1.0,4.0,5.0,0.5,7.0,,,,5.690380311034907,60.0,3.5,-
425,Belardinelli-Empoli,C,Belardinelli,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,1.0,Luca
426,Kaba-Lecce,C,Kaba,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,7.0,,,,5.690380311034907,60.0,4.5,Mohamed
427,Zeroli-Milan,C,Zeroli,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,1.0,Kevin
428,Buchanan-Inter,C,Buchanan T.,Inter,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,8.0,,1.11,,0.53,60.0,4.5,Tajon
429,Adzic-Juventus,C,Adzic,Juventus,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.2,,0.53,15.0,1.0,Vasilije
430,Liberali-Milan,C,Liberali,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.2,,1.0088872819740327,10.0,0.0,Mattia
431,Cassa-Atalanta,C,Cassa,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
432,Byar-Bologna,C,Byar,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,15.0,0.0,Naïm
433,Manzoni-Atalanta,C,Manzoni,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
434,Vos-Milan,C,Vos,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
435,Hasa-Lecce,C,Hasa,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
436,Atta-Udinese,C,Atta,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,5.0,,,,3.6961261900170936,60.0,3.5,Arthur
437,Vlahovic-Juventus,A,Vlahovic,Juventus,37.0,37.0,0.0,38.0,38.0,0.0,380.0,380.0,105.0,49.0,142.33,175.0,162.83,151.96,80.0,17.0,Dusan
438,Lukaku-Napoli,A,Lukaku,Napoli,34.0,33.0,1.0,34.0,33.0,1.0,355.0,355.0,75.0,41.0,107.86,124.03,156.7,148.75,80.0,14.5,Romelu
439,Thuram-Inter,A,Thuram,Inter,34.0,31.0,3.0,33.0,30.0,3.0,300.0,300.0,81.0,43.0,111.45,136.84,113.64,122.98,80.0,16.0,Marcus
440,Dybala-Roma,A,Dybala,Roma,32.0,34.0,-2.0,33.0,35.0,-2.0,230.0,230.0,66.0,39.0,65.28,68.12,53.74,69.37,80.0,17.5,Paulo
441,Dovbyk-Roma,A,Dovbyk,Roma,30.0,32.0,-2.0,29.0,31.0,-2.0,226.0,226.0,63.0,36.0,84.56,88.73,76.03,94.54,80.0,13.5,Artem
442,Kvaratskhelia-Napoli,A,Kvaratskhelia,Napoli,29.0,29.0,0.0,30.0,30.0,0.0,262.0,262.0,75.0,44.0,94.7,111.04,79.99,101.52,85.0,17.0,Khvicha
443,Scamacca-Atalanta,A,Scamacca,Atalanta,26.0,28.0,-2.0,25.0,27.0,-2.0,145.0,140.0,0.5,35.0,36.45,39.47,32.38,42.55,80.0,16.0,Gianluca
444,Lookman-Atalanta,A,Lookman,Atalanta,26.0,28.0,-2.0,27.0,29.0,-2.0,208.0,222.0,45.0,32.0,63.33,67.55,53.3,67.15,70.0,14.0,Ademola
445,Morata-Milan,A,Morata,Milan,25.0,26.0,-1.0,25.0,26.0,-1.0,181.0,179.0,60.0,38.0,101.85,110.92,58.54,91.85,80.0,16.5,Alvaro
446,Zapata-Torino,A,Zapata D.,Torino,25.0,25.0,0.0,25.0,25.0,0.0,172.0,170.0,54.0,33.0,80.52,93.8,52.3,80.66,80.0,15.5,Duvan
447,Leao-Milan,A,Leao,Milan,25.0,25.0,0.0,26.0,26.0,0.0,220.0,220.0,57.0,41.0,77.15,90.39,70.8,83.04,80.0,17.5,Rafael
448,Gudmundsson-Fiorentina,A,Gudmundsson A.,Fiorentina,25.0,27.0,-2.0,26.0,28.0,-2.0,158.0,161.0,45.0,31.0,31.28,42.03,31.58,46.13,80.0,15.0,Albert
449,Gonzalez-Juventus,A,Gonzalez N.,Juventus,23.0,25.0,-2.0,24.0,26.0,-2.0,100.0,103.0,30.0,31.0,53.16,59.04,37.29,42.97,75.0,13.0,Nicolas
450,Castellanos-Lazio,A,Castellanos,Lazio,23.0,21.0,2.0,23.0,21.0,2.0,130.0,127.0,21.0,27.0,46.79,48.67,43.76,75.76,70.0,8.5,Valentin
451,Retegui-Atalanta,A,Retegui,Atalanta,22.0,20.0,2.0,21.0,19.0,2.0,200.0,200.0,66.0,32.0,67.26,71.79,71.56,101.17,70.0,11.0,Mateo
452,Kean-Fiorentina,A,Kean,Fiorentina,21.0,21.0,0.0,21.0,21.0,0.0,121.0,119.0,27.0,25.0,44.0,53.34,27.82,42.81,75.0,12.0,Moise
453,Ketelaere-Atalanta,A,De Ketelaere,Atalanta,20.0,21.0,-1.0,20.0,21.0,-1.0,137.0,140.0,36.0,29.0,33.7,41.81,33.79,51.96,75.0,12.5,Charles
454,Dallinga-Bologna,A,Dallinga,Bologna,20.0,22.0,-2.0,20.0,21.0,-1.0,88.0,86.0,16.0,24.0,33.12,37.49,26.74,35.25,75.0,11.0,Thijs
455,Soule-Roma,A,Soule',Roma,19.0,20.0,-1.0,21.0,22.0,-1.0,90.0,105.0,33.0,25.0,43.72,49.96,45.64,57.78,80.0,12.5,Matias
456,Pinamonti-Genoa,A,Pinamonti,Genoa,18.0,18.0,0.0,17.0,17.0,0.0,102.0,100.0,0.5,22.0,43.84,46.99,29.79,38.85,75.0,11.0,Andrea
457,Krstovic-Lecce,A,Krstovic,Lecce,17.0,17.0,0.0,16.0,16.0,0.0,81.0,79.0,27.0,23.0,25.96,30.86,19.57,32.88,75.0,14.5,Nikola
458,Belotti-Como,A,Belotti,Como,16.0,17.0,-1.0,15.0,16.0,-1.0,75.0,72.0,12.0,22.0,41.47,42.74,21.52,28.89,80.0,13.0,Andrea
459,Dia-Lazio,A,Dia,Lazio,16.0,15.0,1.0,15.0,14.0,1.0,72.0,70.0,21.0,22.0,31.94,37.06,42.83,44.25,65.0,11.0,Boulaye
460,Yildiz-Juventus,A,Yildiz,Juventus,16.0,15.0,1.0,17.0,16.0,1.0,93.0,95.0,39.0,19.0,37.11,47.85,36.08,39.38,65.0,9.0,Kenan
461,Sanchez-Udinese,A,Sanchez,Udinese,15.0,16.0,-1.0,15.0,16.0,-1.0,65.0,65.0,6.0,22.0,25.62,31.1,30.98,35.7,75.0,11.5,Alexis
462,Pohjanpalo-Venezia,A,Pohjanpalo,Venezia,15.0,16.0,-1.0,14.0,15.0,-1.0,76.0,74.0,27.0,22.0,26.84,32.75,24.69,31.23,85.0,13.5,Joel
463,Noslin-Lazio,A,Noslin,Lazio,15.0,16.0,-1.0,15.0,16.0,-1.0,67.0,70.0,15.0,20.0,22.15,22.64,29.35,24.22,75.0,12.0,Tijjani
464,Taremi-Inter,A,Taremi,Inter,15.0,15.0,0.0,14.0,14.0,0.0,66.0,64.0,25.0,23.0,42.08,48.09,25.44,35.55,65.0,7.0,Mehdi
465,Adams-Torino,A,Adams C.,Torino,15.0,14.0,1.0,16.0,15.0,1.0,74.0,72.0,17.0,22.0,22.9,27.87,20.66,26.23,75.0,11.0,Che
466,Piccoli-Cagliari,A,Piccoli,Cagliari,14.0,13.0,1.0,13.0,12.0,1.0,60.0,58.0,12.0,17.0,19.25,22.95,15.41,20.51,70.0,7.5,Roberto
467,Lucca-Udinese,A,Lucca,Udinese,14.0,14.0,0.0,13.0,13.0,0.0,75.0,73.0,24.0,26.0,25.91,27.86,30.8,33.27,75.0,12.0,Lorenzo
468,Abraham-Milan,A,Abraham,Milan,13.0,13.0,0.0,13.0,13.0,0.0,30.0,27.0,2.0,19.0,23.04,27.54,39.5,41.11,65.0,12.0,Tammy
469,Colombo-Empoli,A,Colombo,Empoli,13.0,12.0,1.0,12.0,11.0,1.0,60.0,58.0,15.0,17.0,20.13,24.84,20.22,25.91,80.0,8.5,Lorenzo
470,Tengstedt-Verona,A,Tengstedt,Verona,13.0,12.0,1.0,12.0,11.0,1.0,36.0,34.0,2.0,17.0,18.31,19.05,,8.93,75.0,11.0,Casper
471,Luvumbo-Cagliari,A,Luvumbo,Cagliari,12.0,12.0,0.0,12.0,12.0,0.0,38.0,40.0,12.0,17.0,19.01,23.29,16.93,21.58,75.0,8.0,Zito
472,Djuric-Monza,A,Djuric,Monza,12.0,12.0,0.0,12.0,12.0,0.0,43.0,40.0,2.0,17.0,19.19,23.54,19.45,23.14,65.0,7.0,Milan
473,Vitinha-Genoa,A,Vitinha O.,Genoa,12.0,12.0,0.0,11.0,11.0,0.0,77.0,75.0,12.0,17.0,20.48,21.92,15.76,22.28,75.0,8.5,-
474,Okafor-Milan,A,Okafor,Milan,12.0,11.0,1.0,12.0,11.0,1.0,21.0,21.0,2.0,17.0,19.02,20.23,14.21,19.06,65.0,9.5,Noah
475,Isaksen-Lazio,A,Isaksen,Lazio,12.0,11.0,1.0,13.0,12.0,1.0,27.0,30.0,2.0,18.0,21.56,27.82,20.56,26.21,65.0,9.0,Gustav
476,Milik-Juventus,A,Milik,Juventus,11.0,12.0,-1.0,9.0,10.0,-1.0,22.0,18.0,0.5,15.0,22.44,25.72,,7.55,65.0,11.0,Arek
477,Simeone-Napoli,A,Simeone,Napoli,11.0,11.0,0.0,10.0,10.0,0.0,15.0,13.0,2.0,17.0,20.5,24.34,,8.32,60.0,14.0,Giovanni
478,Thauvin-Udinese,A,Thauvin,Udinese,11.0,10.0,1.0,11.0,10.0,1.0,40.0,40.0,18.0,15.0,19.32,23.23,16.84,30.43,65.0,5.5,Florian
479,Cambiaghi-Bologna,A,Cambiaghi,Bologna,11.0,12.0,-1.0,11.0,12.0,-1.0,20.0,20.0,0.5,16.0,,18.42,,20.032259858334406,70.0,9.0,Nicolo
480,Sanabria-Torino,A,Sanabria,Torino,10.0,10.0,0.0,9.0,9.0,0.0,21.0,19.0,3.0,19.0,24.7,29.25,23.42,27.31,70.0,11.0,Antonio
481,Odgaard-Bologna,A,Odgaard,Bologna,10.0,10.0,0.0,10.0,11.0,-1.0,13.0,15.0,0.5,13.0,,14.96,,6.89,60.0,5.5,Jens
482,Raspadori-Napoli,A,Raspadori,Napoli,10.0,11.0,-1.0,11.0,12.0,-1.0,21.0,21.0,2.0,12.0,20.76,25.26,14.13,19.25,65.0,10.5,Giacomo
483,Almqvist-Parma,A,Almqvist,Parma,10.0,9.0,1.0,10.0,10.0,0.0,18.0,20.0,2.0,17.0,,28.66,17.01,20.1,75.0,9.0,Pontus
484,Beltran-Fiorentina,A,Beltran L.,Fiorentina,10.0,11.0,-1.0,10.0,11.0,-1.0,34.0,34.0,12.0,17.0,19.99,22.07,17.01,21.87,65.0,12.0,Lucas
485,Mosquera-Verona,A,Mosquera,Verona,10.0,8.0,2.0,9.0,7.0,2.0,25.0,20.0,3.0,17.0,19.13,23.6,15.85,22.08,65.0,6.0,Daniel
486,Bonny-Parma,A,Bonny,Parma,10.0,8.0,2.0,10.0,7.0,3.0,51.0,49.0,18.0,16.0,21.95,26.61,18.1,25.04,70.0,9.0,Ange-Yoan
487,Caprari-Monza,A,Caprari,Monza,9.0,9.0,0.0,9.0,9.0,0.0,17.0,17.0,3.0,16.0,,17.36,,18.02,70.0,12.5,Gianluca
488,Cutrone-Como,A,Cutrone,Como,9.0,9.0,0.0,8.0,8.0,0.0,25.0,23.0,6.0,15.0,21.29,24.96,14.57,18.72,65.0,8.0,Patrick
489,Jovic-Milan,A,Jovic,Milan,9.0,10.0,-1.0,8.0,9.0,-1.0,16.0,15.0,0.5,12.0,,13.58,13.07,15.73,60.0,9.5,Luka
490,Ekuban-Genoa,A,Ekuban,Genoa,9.0,9.0,0.0,9.0,9.0,0.0,10.0,10.0,0.5,10.0,,,,9.495054826306982,60.0,3.5,Caleb
491,Mota-Monza,A,Mota,Monza,9.0,10.0,-1.0,9.0,10.0,-1.0,22.0,22.0,2.0,15.0,,17.04,,7.95,70.0,11.5,-
492,Banda-Lecce,A,Banda,Lecce,9.0,9.0,0.0,10.0,10.0,0.0,13.0,16.0,0.5,16.0,,15.88,,16.96,70.0,6.5,Lameck
493,Ngonge-Napoli,A,Ngonge,Napoli,9.0,9.0,0.0,10.0,10.0,0.0,12.0,16.0,2.0,14.0,,16.69,,7.42,65.0,9.5,Cyril
494,Brenner-Udinese,A,Brenner,Udinese,9.0,7.0,2.0,9.0,7.0,2.0,32.0,32.0,3.0,14.0,18.13,21.36,13.3,16.75,65.0,8.5,-
495,Benedyczak-Parma,A,Benedyczak,Parma,9.0,10.0,-1.0,9.0,10.0,-1.0,20.0,22.0,2.0,14.0,17.78,20.94,,8.48,65.0,9.5,Adrian
496,Lapadula-Cagliari,A,Lapadula,Cagliari,8.0,9.0,-1.0,8.0,8.0,0.0,11.0,9.0,0.5,13.0,,16.46,,6.89,55.0,8.5,Gianluca
497,Arnautovic-Inter,A,Arnautovic,Inter,8.0,8.0,0.0,7.0,7.0,0.0,18.0,16.0,0.5,12.0,12.48,13.79,,12.573700058985267,60.0,7.0,Marko
498,Mihaila-Parma,A,Mihaila,Parma,8.0,8.0,0.0,9.0,9.0,0.0,20.0,22.0,3.0,14.0,15.09,16.12,14.01,17.39,75.0,15.0,Valentin
499,Castro-Bologna,A,Castro S.,Bologna,8.0,8.0,0.0,7.0,7.0,0.0,56.0,54.0,16.0,11.0,17.73,20.4,11.16,17.63,60.0,6.0,Santiago
500,Cancellieri-Parma,A,Cancellieri,Parma,6.0,4.0,2.0,6.0,4.0,2.0,13.0,13.0,2.0,13.0,14.27,14.27,12.93,16.5,75.0,6.5,Matteo
501,Davis-Udinese,A,Davis K.,Udinese,6.0,6.0,0.0,5.0,5.0,0.0,8.0,6.0,0.5,10.0,,12.66,,9.495054826306982,60.0,5.0,Keinan
502,Esposito-Empoli,A,Esposito Se.,Empoli,5.0,3.0,2.0,5.0,3.0,2.0,15.0,15.0,7.0,11.0,12.43,15.26,,18.36,70.0,9.5,Sebastiano
503,Shomurodov-Roma,A,Shomurodov,Roma,5.0,3.0,2.0,5.0,3.0,2.0,20.0,20.0,0.5,12.0,,15.73,,6.89,55.0,5.5,Eldor
504,Gytkjaer-Venezia,A,Gytkjaer,Venezia,5.0,5.0,0.0,4.0,4.0,0.0,10.0,10.0,0.5,10.0,,11.51,,9.495054826306982,60.0,2.5,Christian
505,Livramento-Verona,A,Rocha Livramento,Verona,5.0,4.0,1.0,5.0,3.0,2.0,16.0,16.0,2.0,10.0,,11.52,,13.25,65.0,2.5,Dailon
506,Mbangula-Juventus,A,Mbangula,Juventus,5.0,1.0,4.0,5.0,1.0,4.0,17.0,17.0,2.0,6.0,8.15,9.58,3.56,6.73,20.0,1.0,Samuel
507,Dominguez-Bologna,A,Dominguez B.,Bologna,5.0,5.0,0.0,5.0,5.0,0.0,11.0,11.0,0.5,11.0,,,,10.9801578870631,60.0,7.0,Benjamín
508,Rebic-Lecce,A,Rebic,Lecce,4.0,4.0,0.0,4.0,4.0,0.0,7.0,7.0,9.0,13.0,,14.44,,6.31,70.0,6.5,Ante
509,Petagna-Monza,A,Petagna,Monza,4.0,5.0,-1.0,3.0,3.0,0.0,13.0,10.0,0.5,10.0,,12.66,,9.495054826306982,60.0,5.5,Andrea
510,Kouame-Fiorentina,A,Kouame',Fiorentina,4.0,4.0,0.0,4.0,4.0,0.0,13.0,13.0,0.5,11.0,,9.86,,10.9801578870631,55.0,5.5,Christian
511,Sarr-Verona,A,Sarr A.,Verona,4.0,4.0,0.0,4.0,4.0,0.0,7.0,7.0,0.5,11.0,,,,10.9801578870631,65.0,5.0,Amin
512,Pierotti-Lecce,A,Pierotti,Lecce,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.5,10.0,,12.66,,9.495054826306982,60.0,3.5,Santiago
513,Bravo-Udinese,A,Bravo,Udinese,4.0,4.0,0.0,4.0,4.0,0.0,8.0,8.0,0.5,4.0,,5.86,,1.76,45.0,2.5,Iker
514,Pavoletti-Cagliari,A,Pavoletti,Cagliari,3.0,3.0,0.0,3.0,3.0,0.0,5.0,5.0,0.5,8.0,,,,6.850166038292885,60.0,5.0,Leonardo
515,Pellegri-Empoli,A,Pellegri,Empoli,3.0,3.0,0.0,3.0,3.0,0.0,11.0,11.0,0.5,6.0,,,,4.639033694942977,65.0,6.0,Pietro
516,Solbakken-Empoli,A,Solbakken,Empoli,3.0,3.0,0.0,3.0,3.0,0.0,15.0,15.0,0.5,9.0,,2.89,,8.11839087671691,65.0,8.0,Ola
517,Cerri-Como,A,Cerri,Como,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,4.0,,5.06,,2.8616577962572576,50.0,2.5,Alberto
518,Correa-Inter,A,Correa,Inter,2.0,3.0,-1.0,2.0,3.0,-1.0,7.0,7.0,0.5,1.0,,,,1.0088872819740327,,,
519,Pedro-Lazio,A,Pedro,Lazio,2.0,3.0,-1.0,2.0,3.0,-1.0,5.0,5.0,0.5,7.0,,,,5.690380311034907,60.0,5.5,-
520,Raimondo-Venezia,A,Raimondo,Venezia,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,5.0,,6.33,,3.6961261900170936,65.0,7.5,Antonio
521,Pizarro-Udinese,A,Pizarro,Udinese,2.0,3.0,-1.0,2.0,3.0,-1.0,7.0,7.0,0.5,6.0,,,,4.639033694942977,50.0,6.0,Damian
522,Gabrielloni-Como,A,Gabrielloni,Como,2.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.5,5.0,,,,3.6961261900170936,60.0,3.5,Alessandro
523,Charpentier-Parma,A,Charpentier,Parma,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,3.0,,,,2.1356285136634687,30.0,0.0,Gabriel
524,Karamoh-Torino,A,Karamoh,Torino,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,7.0,,5.91,,5.690380311034907,60.0,4.5,Yann
525,Ekong-Empoli,A,Ekong,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,1.0,Emmanuel
526,Burnete-Lecce,A,Burnete,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,2.53,,1.0088872819740327,25.0,0.0,Rares
527,Cruz-Verona,A,Cruz,Verona,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,9.63,45.0,2.5,Juan Manuel
528,Camarda-Milan,A,Camarda,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,5.48,1.94,4.05,20.0,2.5,Francesco
529,Ankeye-Genoa,A,Ankeye,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,1.68,,1.518038342235727,50.0,2.5,David
530,Mutandwa-Cagliari,A,Mutandwa,Cagliari,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,,1.89,,1.0088872819740327,15.0,0.0,Kingstone
531,Jasim-Como,A,Jasim,Como,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,1.84,,1.518038342235727,35.0,0.0,Ali
532,Ekhator-Genoa,A,Ekhator,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,0.0,Jeff
533,Kowalski-Parma,A,Kowalski,Parma,1.0,1.0,0.0,1.0,1.0,0.0,7.0,7.0,0.5,2.0,,1.68,,1.76,35.0,2.5,Mateusz
