"TABLE 1","","","","",""
"# 18","C ( C )","Basic","Lazio","6 ( 5 )","4 ( 4 )"
"# 19","C ( M , C )","Marcos Antonio","Lazio","7 ( 7 )","4 ( 6 )"
"# 20","C ( M , C )","Rovella","Lazio","10 ( 12 )","4 ( 6 )"
"# 21","A ( Pc )","Immobile","Lazio","327 ( 317 )","31 ( 31 )"
"# 22","A ( Pc )","Castellanos","Lazio","28 ( 22 )","12 ( 11 )"
"# 23","A ( A )","Isaksen","Lazio","21 ( 21 )","12 ( 12 )"
"# 24","A ( A )","Pedro","Lazio","18 ( 18 )","12 ( 12 )"
"Lecce","","","","",""
"# 1","P ( Por )","Falcone","Lecce","22 ( 22 )","8 ( 8 )"
"# 2","P ( Por )","Borbei","Lecce","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Brancolini","Lecce","1 ( 1 )","1 ( 1 )"
"# 4","D ( Dd , Dc )","Baschirotto","Lecce","32 ( 35 )","11 ( 11 )"
"# 5","D ( Ds , E )","Gallo","Lecce","9 ( 9 )","6 ( 6 )"
"# 6","D ( Dd , E )","Gendrey","Lecce","8 ( 9 )","6 ( 6 )"
"# 7","D ( DC )","Pongracic","Lecce","6 ( 6 )","5 ( 5 )"
"# 8","D ( Dd , Ds , E )","Venuti","Lecce","5 ( 7 )","4 ( 4 )"
"# 9","D ( Ds , Dc )","Touba","Lecce","5 ( 5 )","3 ( 3 )"
"# 10","D ( Ds , E )","Dorgu","Lecce","8 ( 8 )","2 ( 2 )"
"# 11","D ( DC )","Dermaku","Lecce","1 ( 1 )","1 ( 1 )"
"# 12","D ( DC )","Smajlovic","Lecce","1 ( 1 )","1 ( 1 )"
"# 13","C ( W )","Strefezza","Lecce","69 ( 69 )","17 ( 16 )"
"# 14","C ( M , C )","Blin","Lecce","5 ( 6 )","6 ( 6 )"
"# 15","C ( C )","Gonzalez J.","Lecce","9 ( 9 )","6 ( 6 )"
"# 16","C ( M , C )","Kaba","Lecce","7 ( 8 )","6 ( 7 )"
"# 17","C ( W , T )","Oudin","Lecce","9 ( 8 )","6 ( 5 )"
"# 18","C ( M , C )","Ramadani","Lecce","11 ( 13 )","6 ( 7 )"
"# 19","C ( C.T )","Rafia","Lecce","16 ( 16 )","5 ( 5 )"
"# 20","C ( C )","Maleh","Lecce","4 ( 4 )","4 ( 4 )"
"# 21","C ( M , C )","Faticanti","Lecce","6 ( 6 )","1 ( 1 )"
"# 22","C ( C , T )","Helgason","Lecce","1 ( 1 )","1 ( 1 )"
"# 23","C ( C , T )","Berisha M.","Lecce","0 ( 0 )","0 ( 0 )"
"# 24","C ( W )","Listkowski","Lecce","0 ( 0 )","0 ( 0 )"
"# 25","A ( Pc )","Krstovic","Lecce","32 ( 25 )","12 ( 12 )"
"# 26","A ( A )","Almqvist","Lecce","26 ( 30 )","11 ( 11 )"
"# 27","A ( A )","Banda","Lecce","12 ( 12 )","9 ( 9 )"
"# 28","A ( A )","Di Francesco F.","Lecce","8 ( 8 )","9 ( 9 )"
"# 29","A ( Pc )","Burnete","Lecce","2 ( 2 )","2 ( 2 )"
"# 30","A ( A )","Corfitzen","Lecce","1 ( 1 )","1 ( 1 )"
"# 31","A ( Pc )","Voelkerling Persson","Lecce","1 ( 1 )","1 ( 1 )"
"Milan","","","","",""
"#1","P ( Por )","Maignan","Milan","89 ( 89 )","17 ( 17 )"
"","","","","",""
"TABLE 4","","","","",""
"","","","","",""
"# 12","D ( DC )","Pellegrino","Milan","1 ( 1 )","1 ( 1 )"
"# 13","C ( T.A )","Pulisic","Milan","126 ( 120 )","20 ( 19 )"
"# 14","C ( W , A )","Chukwueze","Milan","75 ( 75 )","19 ( 18 )"
"# 15","C ( C )","Loftus - Cheek","Milan","33 ( 33 )","14 ( 14 )"
"# 16","C ( M , C )","Reijnders","Milan","40 ( 50 )","13 ( 14 )"
"# 17","C ( M , C )","Bennacer","Milan","9 ( 10 )","9 ( 10 )"
"# 18","C ( C )","Musah","Milan","18 ( 18 )","9 ( 9 )"
"# 19","C ( M , C )","Krunic","Milan","12 ( 14 )","6 ( 7 )"
"# 20","C ( C )","Pobega","Milan","8 ( 8 )","5 ( 4 )"
"# 21","C ( W )","Romero L.","Milan","8 ( 8 )","4 ( 4 )"
"# 22","C ( W )","Saelemaekers","Milan","7 ( 7 )","4 ( 4 )"
"# 23","C ( T )","Adli","Milan","3 ( 3 )","1 ( 1 )"
"# 24","A ( A )","Rafael Leao","Milan","261 ( 261 )","31 ( 31 )"
"# 25","A ( Pc )","Giroud","Milan","194 ( 185 )","27 ( 27 )"
"# 26","A ( Pc )","Okafor","Milan","60 ( 54 )","16 ( 15 )"
"# 27","A ( Pc )","Colombo","Milan","6 ( 5 )","9 ( 8 )"
"# 28","A ( Pc )","Origi","Milan","1 ( 1 )","3 ( 3 )"
"Monza","","","","",""
"# 1","P ( Por )","Di Gregorio","Monza","37 ( 37 )","12 ( 12 )"
"# 2","P ( Por )","Gori","Monza","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Lamanna","Monza","1 ( 1 )","1 ( 1 )"
"# 4","P ( Por )","Sorrentino A.","Monza","1 ( 1 )","1 ( 1 )"
"# 5","D ( DC )","Izzo","Monza","18 ( 18 )","8 ( 8 )"
"# 6","D ( Ds , E )","Kyriakopoulos","Monza","15 ( 15 )","8 ( 8 )"
"# 7","D ( DC )","Mari '","Monza","18 ( 18 )","8 ( 8 )"
"# 8","D ( Ds , Dc )","Caldirola","Monza","10 ( 12 )","7 ( 8 )"
"# 9","D ( Dd , Ds , Dc )","D'Ambrosio","Monza","14 ( 14 )","7 ( 9 )"
"# 10","D ( Dd , Ds , E )","Birindelli","Monza","5 ( 6 )","6 ( 7 )"
"# 11","D ( Ds , Dc )","Carboni A.","Monza","3 ( 4 )","3 ( 4 )"
"# 12","D ( DC )","Cittadini","Monza","4 ( 4 )","3 ( 3 )"
"# 13","D ( DC )","Antov","Monza","1 ( 1 )","1 ( 1 )"
"# 14","D ( Ds , E )","Carboni F.","Monza","1 ( 1 )","1 ( 1 )"
"# 15","D ( DC )","Bettella","Monza","0 ( 0 )","0 ( 0 )"
"# 16","D ( Dd , E )","Pereira P.","Monza","0 ( 0 )","0 ( 0 )"
"# 17","C ( E , W )","Ciurria","Monza","42 ( 46 )","14 ( 15 )"
"# 18","C ( C , T )","Pessina","Monza","40 ( 40 )","14 ( 14 )"
"# 19","C ( C , T )","Colpani","Monza","25 ( 25 )","12 ( 12 )"
"# 20","C ( M , C )","Gagliardini","Monza","12 ( 14 )","7 ( 8 )"
"# 21","C ( C )","Machin","Monza","6 ( 5 )","5 ( 4 )"
"# 22","C ( M , C )","Akpa Akpro","Monza","3 ( 3 )","3 ( 3 )"
"# 23","C ( T , A )","Carboni V.","Monza","4 ( 3 )","2 ( 2 )"
"# 24","C ( T , A )","Vignato S.","Monza","1 ( 1 )","1 ( 1 )"
"# 25","A ( A )","Caprari","Monza","48 ( 50 )","14 ( 14 )"
"# 26","A ( Pc )","Petagna","Monza","26 ( 22 )","12 ( 12 )"
"# 27","A ( A )","Mota","Monza","16 ( 18 )","11 ( 11 )"
"# 28","A ( Pc )","Maric","Monza","1 ( 1 )","2 ( 2 )"
"Napoli","","","","",""
"# # 1","P ( Por )","Meret","Napoli","80 ( 80 )","17 ( 17 )"
"# # 2","P ( Por )","Contini","Napoli","1 ( 1 )","1 ( 1 )"
"# # 3","P ( Por )","Gollini","Napoli","1 ( 1 )","1 ( 1 )"
"# # 4","D ( Dd , E )","Di Lorenzo","Napoli","96 ( 96 )","20 ( 20 )"
"# 5","D ( DC )","Rrahmani","Napoli","44 ( 44 )","14 ( 14 )"
"# # 6","D ( Ds , E )","Mario Rui","Napoli","20 ( 20 )","10 ( 10 )"
"# 7","D ( DC )","Natan","Napoli","17 ( 17 )","8 ( 8 )"
"# 8","D ( Ds , E )","Olivera","Napoli","24 ( 24 )","7 ( 7 )"
"# 9","D ( Ds , Dc )","Juan Jesus","Napoli","21 ( 25 )","6 ( 7 )"
"# 10","D ( DC )","Ostigard","Napoli","9 ( 9 )","4 ( 4 )"
"# 11","D ( Dd , E )","Zanoli","Napoli","6 ( 6 )","4 ( 4 )"
"# 12","C ( C , T )","Zielinski","Napoli","74 ( 74 )","20 ( 20 )"
"# 13","C ( C , W , T )","Elmas","Napoli","44 ( 50 )","15 ( 17 )"
"# 14","C ( W )","Politano","Napoli","66 ( 60 )","15 ( 14 )"
"# 15","C ( M , C )","Zambo Anguissa","Napoli","34 ( 40 )","14 ( 15 )"
"# 16","C ( M , C )","Lobotka","Napoli","27 ( 36 )","13 ( 14 )"
"# 17","C ( M , C )","Cajuste","Napoli","12 ( 14 )","6 ( 7 )"
"# 18","C ( C , T )","Gaetano","Napoli","4 ( 4 )","3 ( 3 )"
"# 19","C ( M )","Demme","Napoli","1 ( 1 )","1 ( 1 )"
"# 20","C ( M , C )","Saco","Napoli","1 ( 1 )","1 ( 1 )"
"# 21","C ( W )","Zerbin","Napoli","1 ( 1 )","1 ( 1 )"
"# 22","A ( Pc )","Osimhen","Napoli","442 ( 438 )","45 ( 45 )"
"# 23","A ( A )","Kvaratskhelia","Napoli","261 ( 265 )","31 ( 31 )"
"# 24","A ( Pc )","Simeone","Napoli","30 ( 23 )","12 ( 11 )"
"# 25","A ( A )","Lozano","Napoli","21 ( 23 )","11 ( 11 )"
"# 26","A ( A )","Raspadori","Napoli","35 ( 37 )","9 ( 9 )"
"Roma","","","","",""
"# 1","P ( Por )","Rui Patricio","Roma","47 ( 47 )","13 ( 13 )"
"# # 2","P ( Por )","Boer","Roma","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Svilar","Roma","1 ( 1 )","1 ( 1 )"
"# 4","D ( DC )","Smalling","Roma","46 ( 50 )","14 ( 14 )"
"# 5","D ( E )","Spinazzola","Roma","26 ( 22 )","11 ( 10 )"
"# 6","D ( DC )","Mancini","Roma","26 ( 26 )","10 ( 10 )"
"# # 7","D ( Dd , E )","Kristensen","Roma","15 ( 15 )","8 ( 8 )"
"# 8","D ( DC )","N'Dicka","Roma","20 ( 20 )","8 ( 8 )"
"# 9","D ( DC )","Llorente D.","Roma","17 ( 17 )","6 ( 6 )"
"# 10","D ( Dd , E )","Celik","Roma","5 ( 5 )","3 ( 3 )"
"# 11","D ( Dd , E )","Karsdorp","Roma","2 ( 2 )","3 ( 3 )"
"# 12","D ( DC )","Kumbulla","Roma","3 ( 3 )","3 ( 3 )"
"# 13","C ( C , T )","Aouar","Roma","55 ( 55 )","16 ( 16 )"
"# 14","C ( W , A )","El Shaarawy","Roma","35 ( 31 )","16 ( 15 )"
"# 15","C ( C , T )","Pellegrini Lo .","Roma","62 ( 66 )","15 ( 15 )"
"# 16","C ( C )","Renato Sanches","Roma","32 ( 30 )","13 ( 13 )"
"# 17","C ( M , C )","Cristante","Roma","17 ( 23 )","10 ( 11 )"
"# 18","C ( E )","Zalewski","Roma","10 ( 10 )","8 ( 9 )"
"# 19","C ( M , C )","Paredes","Roma","13 ( 14 )","7 ( 8 )"
"# 20","C ( C )","Bove","Roma","7 ( 7 )","5 ( 5 )"
"# 21","C ( C , T )","Pagano","Roma","1 ( 1 )","1 ( 1 )"
"# 22","A ( A )","Dybala","Roma","286 ( 292 )","28 ( 28 )"
"# 23","A ( Pc )","Abraham","Roma","50 ( 45 )","14 ( 14 )"
"# 24","A ( Pc )","Azmoun","Roma","40 ( 45 )","13 ( 12 )"
"# 25","A ( Pc )","Belotti","Roma","52 ( 45 )","12 ( 11 )"
"","","","","",""
"","","","","",""
"TABLE 5","","","","",""
"","","","","",""
"# 9","D ( Dd , E )","Sambia","Salernitana","5 ( 5 )","4 ( 4 )"
"# 10","D ( Dd , Dc )","Daniliuc","Salernitana","4 ( 5 )","3 ( 3 )"
"# 11","D ( DC )","Fazio","Salernitana","2 ( 2 )","3 ( 3 )"
"# 12","D ( Dd , Dc )","Bronn","Salernitana","3 ( 3 )","2 ( 2 )"
"# 13","C ( W )","Candreva","Salernitana","75 ( 72 )","17 ( 16 )"
"# 14","C ( M , C )","Coulibaly L.","Salernitana","10 ( 13 )","8 ( 9 )"
"# 15","C ( C , T )","Kastanos","Salernitana","12 ( 12 )","7 ( 7 )"
"# 16","C ( T )","Martegani","Salernitana","6 ( 5 )","5 ( 4 )"
"# 17","C ( M , C )","Bohinen .","Salernitana","6 ( 7 )","4 ( 4 )"
"# 18","C ( C )","Maggiore","Salernitana","4 ( 3 )","3 ( 3 )"
"# 19","C ( C )","Coulibaly M.","Salernitana","3 ( 3 )","2 ( 2 )"
"# 20","C ( M , C )","Legowski","Salernitana","1 ( 1 )","1 ( 1 )"
"# 21","A ( Pc )","Dia","Salernitana","197 ( 190 )","26 ( 26 )"
"# 22","A ( Pc )","Botheim","Salernitana","10 ( 8 )","7 ( 6 )"
"# 23","A ( A )","Jovane","Salernitana","8 ( 8 )","5 ( 5 )"
"# 24","A ( Pc )","Ikwuemesi","Salernitana","2 ( 2 )","1 ( 1 )"
"# 25","A ( Pc )","Stewart","Salernitana","1 ( 1 )","1 ( 1 )"
"# 26","A ( A )","Valencia D.","Salernitana","1 ( 1 )","1 ( 1 )"
"Sassuolo","","","","",""
"# 1","P ( Por )","Consigli","Sassuolo","15 ( 15 )","5 ( 5 )"
"# 2","P ( Por )","Cragno","Sassuolo","8 ( 8 )","4 ( 4 )"
"# 3","P ( Por )","Pegolo","Sassuolo","1 ( 1 )","1 ( 1 )"
"# 4","D ( Dd , E )","Pedersen","Sassuolo","10 ( 10 )","7 ( 7 )"
"# 5","D ( DC )","Erlic","Sassuolo","10 ( 10 )","6 ( 6 )"
"# 6","D ( Dd , E )","Toljan","Sassuolo","9 ( 9 )","6 ( 6 )"
"# 7","D ( DC )","Viti","Sassuolo","7 ( 7 )","6 ( 6 )"
"# 8","D ( DC )","Tressoldi","Sassuolo","7 ( 7 )","5 ( 5 )"
"# 9","D ( DC )","Ferrari G.","Sassuolo","10 ( 10 )","4 ( 4 )"
"# 10","D ( Ds , E )","Vina","Sassuolo","6 ( 6 )","4 ( 4 )"
"# 11","D ( Dd , E )","Missori","Sassuolo","1 ( 1 )","2 ( 2 )"
"# 12","C ( T )","Bajrami","Sassuolo","36 ( 30 )","13 ( 12 )"
"# 13","C ( C )","Matheus Henrique","Sassuolo","9 ( 8 )","9 ( 8 )"
"# 14","C ( M , C )","Lopez M.","Sassuolo","15 ( 18 )","7 ( 8 )"
"# 15","C ( C , T )","Thorstvedt","Sassuolo","7 ( 7 )","6 ( 6 )"
"# 16","C ( M , C )","Boloca","Sassuolo","12 ( 14 )","5 ( 6 )"
"# 17","C ( M , C )","Racic","Sassuolo","8 ( 10 )","4 ( 5 )"
"# 18","C ( M , C )","Obiang","Sassuolo","3 ( 3 )","3 ( 3 )"
"# 19","C ( T )","Volpato","Sassuolo","4 ( 4 )","3 ( 3 )"
"# 20","C ( M , C )","Lipani","Sassuolo","1 ( 1 )","1 ( 1 )"
"# 21","A ( A )","Berardi","Sassuolo","259 ( 260 )","29 ( 29 )"
"# 22","A ( A )","Lauriente '","Sassuolo","115 ( 120 )","21 ( 21 )"
"# 23","A ( Pc )","Pinamonti","Sassuolo","40 ( 32 )","12 ( 11 )"
"# 24","A ( Pc )","Mulattieri","Sassuolo","22 ( 20 )","11 ( 10 )"
"# 25","A ( A )","Defrel","Sassuolo","12 ( 13 )","9 ( 9 )"
"# 26","A ( Pc )","Alvarez A.","Sassuolo","5 ( 4 )","4 ( 4 )"
"# 27","A ( A )","Ceide","Sassuolo","1 ( 1 )","2 ( 2 )"
"Torino","","","","",""
"# 1","P ( Por )","Milinkovic - Savic V.","Torino","31 ( 31 )","10 ( 10 )"
"# 2","P ( Por )","Gemello","Torino","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Popa","Torino","1 ( 1 )","1 ( 1 )"
"# 4","D ( DC )","Schuurs","Torino","46 ( 46 )","15 ( 15 )"
"# 5","D ( DC )","Buongiorno","Torino","23 ( 23 )","10 ( 10 )"
"# 6","D ( Dd , E )","Bellanova","Torino","25 ( 26 )","8 ( 8 )"
"# 7","D ( Ds , Dc )","Rodriguez R.","Torino","10 ( 12 )","8 ( 9 )"
"# 8","D ( DC )","Djidji","Torino","7 ( 7 )","6 ( 6 )"
"# 9","D ( E )","Vojvoda","Torino","16 ( 12 )","6 ( 5 )"
"# 10","D ( E )","Lazaro","Torino","8 ( 8 )","4 ( 4 )"
"# 11","D ( DC )","Zima","Torino","4 ( 4 )","3 ( 3 )"
"# 12","D ( DC )","N'Guessan","Torino","1 ( 1 )","1 ( 1 )"
"# 13","C ( W , T )","Vlasic","Torino","68 ( 74 )","17 ( 18 )"
"# 14","C ( M , C )","Ricci S.","Torino","23 ( 28 )","13 ( 14 )"
"# 15","C ( C )","llic","Torino","28 ( 28 )","12 ( 12 )"
"# 16","C ( W )","Radonjic","Torino","27 ( 25 )","11 ( 10 )"
"# 17","C ( M , C )","Tameze","Torino","10 ( 13 )","7 ( 8 )"
"# 18","C ( M , C )","Linetty","Torino","6 ( 7 )","5 ( 6 )"
"# 19","C ( C )","Gineitis","Torino","1 ( 1 )","1 ( 1 )"
"# 20","C ( C , T )","Ilkhan","Torino","1 ( 1 )","1 ( 1 )"
"# 21","A ( Pc )","Sanabria","Torino","122 ( 117 )","23 ( 23 )"
"# 22","A ( A )","Karamoh","Torino","6 ( 6 )","10 ( 10 )"
"# 23","A ( Pc )","Pellegri","Torino","10 ( 7 )","8 ( 7 )"
"# 24","A ( A )","Seck","Torino","3 ( 3 )","3 ( 3 )"
"Udinese","","","","",""
"# 1","P ( Por )","Silvestri","Udinese","31 ( 31 )","8 ( 8 )"
"# 2","P ( Por )","Okoye","Udinese","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Padelli","Udinese","1 ( 1 )","1 ( 1 )"
"# 4","P ( Por )","Piana","Udinese","1 ( 1 )","1 ( 1 )"
"# 5","D ( DC )","Bijol","Udinese","21 ( 21 )","9 ( 9 )"
"# 6","D ( DC )","Perez N.","Udinese","12 ( 12 )","8 ( 8 )"
"# 7","D ( Ds , E )","Kamara H.","Udinese","10 ( 10 )","7 ( 7 )"
"# 8","D ( Ds , Dc )","Masina","Udinese","7 ( 8 )","6 ( 6 )"
"# 9","D ( DC )","Kabasele","Udinese","5 ( 5 )","5 ( 5 )"
"# 10","D ( Ds , E )","Zemura","Udinese","7 ( 7 )","5 ( 5 )"
"# 11","D ( Dd , E )","Ebosele","Udinese","6 ( 6 )","4 ( 4 )"
"# 12","D ( Dd , E )","Ehizibue","Udinese","6 ( 6 )","4 ( 4 )"
"# 13","D ( Ds , Dc )","Ebosse","Udinese","3 ( 4 )","3 ( 4 )"
"# 14","D ( Dd , E )","Ferreira J.","Udinese","1 ( 1 )","2 ( 2 )"
"# 15","D ( Dd , Dc )","Abankwah","Udinese","1 ( 1 )","1 ( 1 )"
"# 16","D ( DC )","Guessand A.","Udinese","1 ( 1 )","1 ( 1 )"
"# 17","C ( C , T )","Samardzic","Udinese","50 ( 50 )","17 ( 17 )"
"# 18","C ( C , T )","Lovric","Udinese","53 ( 53 )","15 ( 15 )"
"# 19","C ( M , C )","Walace","Udinese","9 ( 10 )","7 ( 8 )"
"# 20","C ( C , W , T )","Quina","Udinese","4 ( 6 )","4 ( 4 )"
"# 21","C ( M , C )","Camara E.","Udinese","4 ( 5 )","3 ( 4 )"
"# 22","C ( C )","Zarraga","Udinese","4 ( 3 )","3 ( 3 )"
"# 23","C ( T , A )","Pafundi","Udinese","1 ( 1 )","1 ( 1 )"
"# 24","A ( Pc )","Beto","Udinese","138 ( 128 )","20 ( 20 )"
"# 25","A ( A )","Deulofeu","Udinese","20 ( 24 )","13 ( 13 )"
"# 26","A ( A )","Thauvin","Udinese","16 ( 18 )","11 ( 11 )"
"# 27","A ( Pc )","Brenner","Udinese","12 ( 10 )","10 ( 9 )"
"","","","","",""
"TABLE 6","","","","",""
"","","","","",""
"# 6","D ( DC )","Hien","Verona","15 ( 15 )","7 ( 7 )"
"# 7","D ( DC )","Dawidowicz","Verona","5 ( 5 )","5 ( 5 )"
"# 8","D ( DC )","Gunter","Verona","4 ( 4 )","4 ( 4 )"
"# 9","D ( DC )","Magnani","Verona","4 ( 4 )","4 ( 4 )"
"# 10","D ( Dd , E )","Terracciano F.","Verona","7 ( 7 )","4 ( 4 )"
"# 11","D ( Ds , Dc )","Amione","Verona","5 ( 6 )","3 ( 4 )"
"# 12","D ( Ds , Dc )","Cabal","Verona","4 ( 5 )","3 ( 4 )"
"# 13","D ( DC )","Coppola D.","Verona","2 ( 2 )","2 ( 2 )"
"# 14","C ( E , W )","Lazovic","Verona","42 ( 45 )","14 ( 14 )"
"# 15","C ( W , T )","Saponara","Verona","29 ( 33 )","11 ( 11 )"
"# 16","C ( C , T )","Duda","Verona","14 ( 14 )","9 ( 9 )"
"# 17","C ( W )","Mboula","Verona","12 ( 12 )","9 ( 8 )"
"# 18","C ( M , C )","Hongla","Verona","4 ( 6 )","5 ( 6 )"
"# 19","C ( C , T )","Serdar","Verona","7 ( 7 )","5 ( 5 )"
"# 20","C ( C , T )","Folorunsho","Verona","12 ( 12 )","3 ( 3 )"
"# 21","C ( C )","Hrustic","Verona","4 ( 3 )","3 ( 3 )"
"# 22","C ( M , C )","Joselito","Verona","1 ( 1 )","1 ( 1 )"
"# 23","A ( A )","Ngonge","Verona","50 ( 52 )","13 ( 13 )"
"# 24","A ( Pc )","Henry","Verona","6 ( 6 )","11 ( 10 )"
"# 25","A ( Pc )","Djuric","Verona","10 ( 8 )","10 ( 9 )"
"# 26","A ( A )","Bonazzoli","Verona","8 ( 8 )","9 ( 9 )"
"# 27","A ( A )","Kallon","Verona","2 ( 2 )","2 ( 2 )"
"# 28","A ( A )","Braaf","Verona","1 ( 1 )","1 ( 1 )"
